hpo_id,name,definition,synonyms,ref,related_diseases,related_genes
HP:0025329,Anti-glutamic acid decarboxylase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against glutamic acid decarboxylase.,Anti-GAD antibody positivity,,OMIM:621004|OMIM:610582|ORPHA:228426|ORPHA:443804|OMIM:620044|OMIM:304790|OMIM:612225|ORPHA:3002|OMIM:616329,NCBIGene:5133:PDCD1|NCBIGene:3767:KCNJ11|NCBIGene:83737:ITCH|NCBIGene:1854:DUT|NCBIGene:50943:FOXP3|NCBIGene:5078:PAX4|NCBIGene:9103:FCGR2C
HP:0025343,Lupus anticoagulant,"Presence of lupus anticoagulant (LA) autoantibodies. LA represent a heterogeneous group of autoantibodies, IgG, IgM, or a mixture of both classes, that interfere with standard phospholipid-based coagulant tests (this is only an in vitro phenomenon, LA do not cause reduction of coagulation in vivo). The antibodies are directed against plasma proteins which also bind to phospholipid surfaces.",,,OMIM:107320|ORPHA:231111|ORPHA:93552|OMIM:616744|OMIM:615688|ORPHA:464343|ORPHA:70591|ORPHA:80|ORPHA:542643|OMIM:620376|ORPHA:781,NCBIGene:6775:STAT4|NCBIGene:6696:SPP1|NCBIGene:6303:SAT1|NCBIGene:3654:IRAK1|NCBIGene:7128:TNFAIP3|NCBIGene:51816:ADA2|NCBIGene:4067:LYN
HP:0025353,Anti-multiple nuclear dots antibody positivity,"A type of antinuclear antibody (ANA) positivity revealed by indirect immunofluorescence (IFL). The multiple nuclear dots (MND) pattern is immunomorphologically characterized by the staining of 3-20 dots of variable size distributed all over the cell nucleus, but sparing the nucleoli, and, in contrast to the anticentromere pattern, MND reactivity does not stain the chromosomes in mitotic cells.",Anti-MND antibodies,,ORPHA:562639,
HP:0025379,Anti-thyroid peroxidase antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against thyroid peroxidase.,Anti-TPO antibody positivity|Antimicrosomal antibodies|Antimicrosomal antibody positivity|TPOAbs,,ORPHA:277|OMIM:240300|ORPHA:525731|ORPHA:49041|ORPHA:95715|OMIM:618534|OMIM:274300|ORPHA:37042|OMIM:618048|ORPHA:228426|ORPHA:566243|ORPHA:95719|OMIM:615577|OMIM:610199|OMIM:301109|ORPHA:64744|ORPHA:3002|OMIM:620376|OMIM:609152,NCBIGene:100:ADA|NCBIGene:326:AIRE|NCBIGene:10125:RASGRP1|NCBIGene:7068:THRB|NCBIGene:50943:FOXP3|NCBIGene:51371:POMP|NCBIGene:83737:ITCH|NCBIGene:4791:NFKB2|NCBIGene:169792:GLIS3|NCBIGene:139818:DOCK11|NCBIGene:9103:FCGR2C|NCBIGene:4067:LYN|NCBIGene:7253:TSHR
HP:0025381,Anti-pituitary antibody positivity,"Circulating antipituitary antibodies (APA) are markers of autoimmune hypophysitis, which may cause deficient pituitary function.",,,,
HP:0025440,Warm reactive autoantibody positivity,Warm reactive autoantibodies are RBC-directed immune responses that are maximally reactive at 37 degrees C.,,,,
HP:0025629,Anti-myelin-associated glycoprotein antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against myelin-associated glycoprotein (MAG).,,,,
HP:0025731,Anti-glycosylphosphatidylinositol anchored high-density lipoprotein binding protein 1 antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against glycosylphosphatidylinositol anchored high-density lipoprotein binding protein 1.,Anti-GPIHBP1 antibody positivity,,,
HP:0025762,Anti-ganglionic acetylcholine receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against acetylcholine receptors of the ganglionic type.,,,,
HP:0030057,Autoimmune antibody positivity,The presence of an antibody in the blood circulation that is directed against the organism's own cells or tissues.,,UMLS:C4022660,ORPHA:90291|OMIM:613471|ORPHA:3453|OMIM:240300|ORPHA:85138|ORPHA:703|ORPHA:43393|ORPHA:97560|ORPHA:221|ORPHA:80|ORPHA:464343|ORPHA:95719|ORPHA:566243|OMIM:274300|OMIM:618534|OMIM:618048|OMIM:619632|OMIM:609152|OMIM:615577|ORPHA:3002|OMIM:301109|ORPHA:64744|OMIM:620757|OMIM:233450|OMIM:620475|ORPHA:623626|OMIM:301080|OMIM:618394|ORPHA:596448|OMIM:619573|ORPHA:60|OMIM:608710|OMIM:617718|OMIM:614420|ORPHA:732|ORPHA:81|ORPHA:277|ORPHA:525731|ORPHA:49041|ORPHA:95715|ORPHA:37042|ORPHA:228426|OMIM:610199|OMIM:620376|ORPHA:536|ORPHA:704|ORPHA:562639|ORPHA:2137|ORPHA:589|ORPHA:289390|ORPHA:90002|ORPHA:809|ORPHA:206572|ORPHA:54370|ORPHA:329918|ORPHA:1656|OMIM:616325|ORPHA:2932|ORPHA:3198|ORPHA:443804|ORPHA:90033|ORPHA:71275|ORPHA:206569|ORPHA:398063|ORPHA:555905|ORPHA:227990|OMIM:140300|ORPHA:79444|ORPHA:90283|ORPHA:94089|ORPHA:60026|ORPHA:79128|OMIM:301054|ORPHA:79443|ORPHA:90673|ORPHA:824|OMIM:620795|ORPHA:88|ORPHA:231111|ORPHA:71211|ORPHA:264675|ORPHA:293978|ORPHA:747|ORPHA:75565|ORPHA:71505|ORPHA:411593|ORPHA:94090|ORPHA:424|ORPHA:99885|ORPHA:99931|ORPHA:398124|OMIM:169610|ORPHA:1183|ORPHA:90674|ORPHA:99886|ORPHA:99832|ORPHA:79138|ORPHA:306550|ORPHA:227982|ORPHA:98818|OMIM:109100|ORPHA:95717|ORPHA:3386|ORPHA:99819|ORPHA:552|ORPHA:90003|ORPHA:79134|ORPHA:36913|ORPHA:46488|ORPHA:1855|ORPHA:567544|ORPHA:470|OMIM:619375|ORPHA:163525|ORPHA:1929|OMIM:601859|OMIM:620825|ORPHA:3261|ORPHA:93552|ORPHA:486|ORPHA:90060|OMIM:603909|ORPHA:2688|OMIM:301078|ORPHA:464370|ORPHA:623615|ORPHA:84142|ORPHA:83467|ORPHA:611|OMIM:610910|OMIM:614370|ORPHA:391487|OMIM:182410|ORPHA:90280|OMIM:615934|ORPHA:781|OMIM:152700|ORPHA:439167|OMIM:225750|ORPHA:820|ORPHA:70591|ORPHA:93126|OMIM:621018|ORPHA:50918|OMIM:620322|ORPHA:331235|ORPHA:85436|OMIM:607944|ORPHA:186|ORPHA:542643|ORPHA:449395|OMIM:620321|OMIM:614468|ORPHA:85408|ORPHA:449563|OMIM:617388|ORPHA:449400|OMIM:620514|OMIM:613495|OMIM:618795|ORPHA:79480|ORPHA:829|OMIM:609939|OMIM:608810|ORPHA:95512|ORPHA:199241|OMIM:616414|OMIM:618852|ORPHA:2298|OMIM:259600|ORPHA:91355|OMIM:256810|OMIM:616744|ORPHA:79078|ORPHA:95513|OMIM:610448|ORPHA:85410|ORPHA:728|OMIM:615559|ORPHA:48435|ORPHA:90159|OMIM:620776|ORPHA:64743|ORPHA:3143|OMIM:621004|ORPHA:183|ORPHA:900|ORPHA:727|OMIM:241850|OMIM:188030|ORPHA:98919|OMIM:180300|OMIM:610582|OMIM:620044|OMIM:304790|OMIM:612225|OMIM:616329|OMIM:107320|OMIM:615688|ORPHA:217253|OMIM:616033|OMIM:610163|OMIM:616192|ORPHA:548|ORPHA:208999|OMIM:620815|OMIM:620813|ORPHA:1018|ORPHA:91414|ORPHA:139417|ORPHA:83597|OMIM:615816|ORPHA:443811|ORPHA:1159|ORPHA:79099|OMIM:106300|ORPHA:91139|OMIM:618935|OMIM:209950|ORPHA:85435|ORPHA:1304|OMIM:616313|OMIM:616323|OMIM:616227|OMIM:254300|OMIM:614198|ORPHA:99867|OMIM:254210|OMIM:603034|OMIM:616224|ORPHA:590|OMIM:616314|OMIM:601462|OMIM:608930|ORPHA:98914|ORPHA:254361|OMIM:616326|OMIM:616324,NCBIGene:3930:LBR|NCBIGene:326:AIRE|NCBIGene:3119:HLA-DQB1|NCBIGene:3123:HLA-DRB1|NCBIGene:7068:THRB|NCBIGene:10125:RASGRP1|NCBIGene:51371:POMP|NCBIGene:29775:CARD10|NCBIGene:7253:TSHR|NCBIGene:4791:NFKB2|NCBIGene:9103:FCGR2C|NCBIGene:139818:DOCK11|NCBIGene:10020:GNE|NCBIGene:60:ACTB|NCBIGene:51284:TLR7|NCBIGene:60468:BACH2|NCBIGene:50619:DEF6|NCBIGene:5265:SERPINA1|NCBIGene:10095:ARPC1B|NCBIGene:1776:DNASE1L3|NCBIGene:100:ADA|NCBIGene:50943:FOXP3|NCBIGene:83737:ITCH|NCBIGene:169792:GLIS3|NCBIGene:4067:LYN|NCBIGene:640:BLK|NCBIGene:6696:SPP1|NCBIGene:221895:JAZF1|NCBIGene:3500:IGHG1|NCBIGene:3684:ITGAM|NCBIGene:3586:IL10|NCBIGene:11277:TREX1|NCBIGene:1380:CR2|NCBIGene:2215:FCGR3B|NCBIGene:7332:UBE2L3|NCBIGene:55024:BANK1|NCBIGene:4204:MECP2|NCBIGene:720:C4A|NCBIGene:3654:IRAK1|NCBIGene:721:C4B|NCBIGene:5133:PDCD1|NCBIGene:7292:TNFSF4|NCBIGene:3663:IRF5|NCBIGene:7128:TNFAIP3|NCBIGene:6775:STAT4|NCBIGene:1773:DNASE1|NCBIGene:1493:CTLA4|NCBIGene:26191:PTPN22|NCBIGene:79932:KIAA0319L|NCBIGene:10318:TNIP1|NCBIGene:2113:ETS1|NCBIGene:2213:FCGR2B|NCBIGene:54899:PXK|NCBIGene:4593:MUSK|NCBIGene:6006:RHCE|NCBIGene:6007:RHD|NCBIGene:6005:RHAG|NCBIGene:2778:GNAS|NCBIGene:8675:STX16|NCBIGene:7317:UBA1|NCBIGene:54790:TET2|NCBIGene:811:CALR|NCBIGene:3717:JAK2|NCBIGene:4352:MPL|NCBIGene:81858:SHARPIN|NCBIGene:7012:TERC|NCBIGene:7015:TERT|NCBIGene:5551:PRF1|NCBIGene:3458:IFNG|NCBIGene:51119:SBDS|NCBIGene:1439:CSF2RB|NCBIGene:1438:CSF2RA|NCBIGene:3767:KCNJ11|NCBIGene:6833:ABCC8|NCBIGene:3651:PDX1|NCBIGene:2645:GCK|NCBIGene:6774:STAT3|NCBIGene:3630:INS|NCBIGene:7252:TSHB|NCBIGene:346171:ZFP57|NCBIGene:5325:PLAGL1|NCBIGene:57061:HYMAI|NCBIGene:7201:TRHR|NCBIGene:8772:FADD|NCBIGene:2903:GRIN2A|NCBIGene:3172:HNF4A|NCBIGene:6927:HNF1A|NCBIGene:4760:NEUROD1|NCBIGene:1056:CEL|NCBIGene:8462:KLF11|NCBIGene:26060:APPL1|NCBIGene:5078:PAX4|NCBIGene:79731:NARS2|NCBIGene:54:ACP5|NCBIGene:9056:SLC7A7|NCBIGene:8651:SOCS1|NCBIGene:356:FASLG|NCBIGene:355:FAS|NCBIGene:23308:ICOSLG|NCBIGene:843:CASP10|NCBIGene:6303:SAT1|NCBIGene:6728:SRP19|NCBIGene:2672:GFI1|NCBIGene:10312:TCIRG1|NCBIGene:1991:ELANE|NCBIGene:81570:CLPB|NCBIGene:51311:TLR8|NCBIGene:6772:STAT1|NCBIGene:51816:ADA2|NCBIGene:340061:STING1|NCBIGene:2212:FCGR2A|NCBIGene:129607:CMPK2|NCBIGene:714:C1QC|NCBIGene:5450:POU2AF1|NCBIGene:3594:IL12RB1|NCBIGene:23534:TNPO3|NCBIGene:6689:SPIB|NCBIGene:79258:MMEL1|NCBIGene:9966:TNFSF15|NCBIGene:3592:IL12A|NCBIGene:713:C1QB|NCBIGene:5336:PLCG2|NCBIGene:919:CD247|NCBIGene:79722:ANKRD55|NCBIGene:3560:IL2RB|NCBIGene:3559:IL2RA|NCBIGene:5771:PTPN2|NCBIGene:22861:NLRP1|NCBIGene:5335:PLCG1|NCBIGene:931:MS4A1|NCBIGene:144811:LACC1|NCBIGene:1410:CRYAB|NCBIGene:440275:EIF2AK4|NCBIGene:1314:COPA|NCBIGene:8737:RIPK1|NCBIGene:4313:MMP2|NCBIGene:4358:MPV17|NCBIGene:5580:PRKCD|NCBIGene:2582:GALE|NCBIGene:3115:HLA-DPB1|NCBIGene:5657:PRTN3|NCBIGene:3113:HLA-DPA1|NCBIGene:2304:FOXE1|NCBIGene:51744:CD244|NCBIGene:4261:CIITA|NCBIGene:4795:NFKBIL1|NCBIGene:6583:SLC22A4|NCBIGene:1854:DUT|NCBIGene:93587:TRMT10A|NCBIGene:5611:DNAJC3|NCBIGene:8625:RFXANK|NCBIGene:6891:TAP2|NCBIGene:1288:COL4A6|NCBIGene:1287:COL4A5|NCBIGene:1499:CTNNB1|NCBIGene:5238:PGM3|NCBIGene:8838:CCN6|NCBIGene:3106:HLA-B|NCBIGene:79415:CYBC1|NCBIGene:3459:IFNGR1|NCBIGene:1140:CHRNB1|NCBIGene:1144:CHRND|NCBIGene:199857:ALG14|NCBIGene:285489:DOK7|NCBIGene:6329:SCN4A|NCBIGene:1103:CHAT|NCBIGene:8292:COLQ|NCBIGene:9581:PREPL|NCBIGene:1134:CHRNA1|NCBIGene:1305:COL13A1|NCBIGene:6616:SNAP25|NCBIGene:4649:MYO9A|NCBIGene:6843:VAMP1|NCBIGene:375790:AGRN|NCBIGene:60482:SLC5A7|NCBIGene:6572:SLC18A3|NCBIGene:6576:SLC25A1|NCBIGene:127833:SYT2|NCBIGene:5339:PLEC|NCBIGene:5913:RAPSN|NCBIGene:1145:CHRNE
HP:0030167,Antimitochondrial antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against mitochondria.,Serum antimitochrondrial antibodies,UMLS:C4021051,OMIM:620376|ORPHA:562639|OMIM:610163|OMIM:613471|ORPHA:186,NCBIGene:4067:LYN|NCBIGene:919:CD247|NCBIGene:3930:LBR|NCBIGene:5450:POU2AF1|NCBIGene:3594:IL12RB1|NCBIGene:23534:TNPO3|NCBIGene:3663:IRF5|NCBIGene:6689:SPIB|NCBIGene:79258:MMEL1|NCBIGene:9966:TNFSF15|NCBIGene:3592:IL12A
HP:0030208,Anti-neuromuscular Junction acetylcholine receptor antibody positivity,The presence of autoantibodies (immunoglobulins) in the blood circulation that react against neuromuscular junction acetylcholine receptors.,Acetylcholine receptor antibody positivity|Anti-AChR antibody positivity,UMLS:C4022578,OMIM:616313|OMIM:616325|OMIM:616323|OMIM:616227|OMIM:254300|ORPHA:589|OMIM:614198|ORPHA:99867|ORPHA:79480|OMIM:254210|OMIM:603034|OMIM:616224|ORPHA:590|OMIM:616314|OMIM:601462|OMIM:608930|ORPHA:98914|ORPHA:254361|OMIM:616326|OMIM:616324,NCBIGene:1140:CHRNB1|NCBIGene:4593:MUSK|NCBIGene:1144:CHRND|NCBIGene:199857:ALG14|NCBIGene:285489:DOK7|NCBIGene:6329:SCN4A|NCBIGene:1103:CHAT|NCBIGene:8292:COLQ|NCBIGene:9581:PREPL|NCBIGene:1134:CHRNA1|NCBIGene:1305:COL13A1|NCBIGene:6616:SNAP25|NCBIGene:4649:MYO9A|NCBIGene:6843:VAMP1|NCBIGene:375790:AGRN|NCBIGene:60482:SLC5A7|NCBIGene:6572:SLC18A3|NCBIGene:6576:SLC25A1|NCBIGene:127833:SYT2|NCBIGene:5339:PLEC|NCBIGene:5913:RAPSN|NCBIGene:1145:CHRNE
HP:0030209,Calcium channel antibody positivity,The presence of autoantibodies (immunoglobulins) in the serum that react against voltage-gated calcium channels.,Ca channel antibody positivity|Ca2+ channel antibody positivity,UMLS:C4022577,ORPHA:43393,
HP:0030210,Anti-muscle-specific tyrosine kinase antibody,The presence of autoantibodies (immunoglobulins) in the serum that react against muscle specific kinase (anti-MuSK Ab).,Anti-MUSK antibodies|Anti-muscle-specific tyrosine kinase antibody|Muscle specific kinase antibody positivity,UMLS:C4021044,ORPHA:589|OMIM:616325,NCBIGene:4593:MUSK
